"row_id","QuestionId","QuestionText","MC_Answer","StudentExplanation","Category","Misconception"
"2","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1 3rd is half of 3 6th, so it is simplee to understand.","True_Neither","Unclassified Error"
"3","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1 goes into everything and 3 goes into nine","True_Neither","Unclassified Error"
"9","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 because it 3 shadedd in not all of them","True_Neither","Unclassified Error"
"13","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 is also 1/3 in its simplest form.","True_Neither","Unclassified Error"
"14","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 is equal to 3 because if 3 are not shared in so 3/6 in its simplest form is 1/3.","True_Neither","Unclassified Error"
"15","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 is equal to 3 because if 3 are not shared in so 3/6 in its simplest form is 1/3.","True_Neither","Unclassified Error"
"16","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 is in its simplest form.","True_Neither","Unclassified Error"
"24","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 is the same as 3/9 and there is 1/9 left unshaded.","True_Neither","Unclassified Error"
"32","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 is the simplest form of this shape.","True_Neither","Unclassified Error"
"39","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3 of the 9 triangles are shaded, so 3/9=1/3.","True_Neither","Unclassified Error"
"43","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3.   3/9 shaded, and to find simplest from we divide the top and the bottom by 3.","True_Neither","Unclassified Error"
"44","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","1/3. 3/9 shaded, and to find simplest from we divide the top and the bottom by 3.","True_Neither","Unclassified Error"
"48","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 9 are shaded and to put in its simplest form you would divide it by 3","True_Neither","Unclassified Error"
"49","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 9th's are shaded and it is the same as 1 3rd","True_Neither","Unclassified Error"
"53","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 are not shaded but you need to simplify the numbers","True_Neither","Unclassified Error"
"62","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 is not shaded and 6 is and 3/6 is 1/3","True_Neither","Unclassified Error"
"63","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 is not shaded and 9 is shaded. our current answer is 9/3. 9/3 simplified is 1/3.","True_Neither","Unclassified Error"
"65","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 is shaded in and then it is explained.","True_Neither","Unclassified Error"
"66","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 is shaded in and then simplify it","True_Neither","Unclassified Error"
"72","31772","What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]","\( \frac{1}{3} \)","3 of 9 is dark and then you simplify it.","True_Neither","Unclassified Error"
